surname,variant,variant_source,country,country_source,attested_by,phonetic_skeleton
GIZIŃSKA,GIZIŃSKI,grammar,PL,register,pesel,iznsk
GIZIŃSKI,GIZIŃSKA,grammar,PL,register,pesel,iznsk
GIZIŃSKI VEL GIZIAK,,,PL,register,pesel,iznsk vl
GIŻKA,GIŻKY,grammar,PL,register,pesel,izk
GIŻKA,GIZKY,grammar,PL,register,pesel,izk
GIŻKY,GIŻKA,grammar,,,,izk
GIŻKY,GIZKA,grammar,,,,izk
GIŹLAR,,,PL,register,pesel,izlr
GIZLER,,,PL,register,pesel,izlr
GIZMAJER,,,PL,register,pesel,izmr
GIZMUNT,,,PL,register,pesel,izmnt
GIZO,,,PL,register,pesel,iz
GIZOPULOS,,,PL,register,pesel,izpls
GIZOT,,,PL,register,pesel,izt
GIZOWSKA,GIZOWSKI,grammar,PL,register,pesel,izvsk
GIZOWSKA,GIŻOWSKI,grammar,PL,register,pesel,izvsk
GIZOWSKI,GIZOWSKA,grammar,PL,register,pesel,izvsk
GIZOWSKI,GIŻOWSKA,grammar,PL,register,pesel,izvsk
GIZULEWSKA,GIZULEWSKI,grammar,PL,register,pesel,izlvsk
GIZULEWSKI,GIZULEWSKA,grammar,PL,register,pesel,izlvsk
GIZUŃ,,,PL,register,pesel,izn
GIZY,GIZA,grammar,,,,iz
GIZY,GIŻA,grammar,,,,iz
GIŻYCKA,GIŻYCKI,grammar,PL,register,pesel,izk
GIŻYCKI,GIŻYCKA,grammar,PL,register,pesel,izk
GIŻYŃSKA,GIŻYŃSKI,grammar,PL,register,pesel,iznsk
GIŻYŃSKI,GIŻYŃSKA,grammar,PL,register,pesel,iznsk
GIŁAJ,,,PL,register,pesel,i
GIŁEJ,,,PL,register,pesel,i
GIŁKA,GIŁKY,grammar,PL,register,pesel,ik
GIŁKO,,,PL,register,pesel,ik
GIŁKY,GIŁKA,grammar,,,,ik
GIŁOWEJNO,,,PL,register,pesel,ivn
GIŁUDŹ,,,PL,register,pesel,idz
GIŁYK,,,PL,register,pesel,ik
GJĄDŁA,GJĄDŁY,grammar,PL,register,pesel,gd
GJĄDŁY,GJĄDŁA,grammar,,,,gd
GJEROSKA,GJEROSKI,grammar,PL,register,pesel,grsk
GJEROSKI,GJEROSKA,grammar,,,,grsk
GJETA,GJETY,grammar,PL,register,pesel,gt
GJETY,GJETA,grammar,,,,gt
GJINAJ,,,PL,register,pesel,gn
GJINI,,,PL,register,pesel,gn
GJINOVCI,,,PL,register,pesel,gnvs
GJOKA,GJOKY,grammar,PL,register,pesel,gk
GJOKY,GJOKA,grammar,,,,gk
GJONAJ,,,PL,register,pesel,gn
GJONDŁA,GJONDŁY,grammar,PL,register,pesel,gnd
GJONDŁY,GJONDŁA,grammar,,,,gnd
GJONI,,,PL,register,pesel,gn
GJOSTOL,,,PL,register,pesel,gstl
GJUKA,GJUKY,grammar,PL,register,pesel,gk
GJUKY,GJUKA,grammar,,,,gk
GJUNTER,,,PL,register,pesel,gntr
GJUZI,,,PL,register,pesel,gz
GJYRIQI,,,PL,register,pesel,grq
GJØRA,GJØRY,grammar,PL,register,pesel,gr
GJØRY,GJØRA,grammar,,,,gr
GKEROS,,,PL,register,pesel,gkrs
GKIZERIS,,,PL,register,pesel,gkzrs
GKOTSIS,,,PL,register,pesel,gktss
GKOUMAS,,,PL,register,pesel,gkms
GLAAS,,,PL,register,pesel,gls
GLAB,,,PL,register,pesel,glb
GLABA,GLABY,grammar,PL,register,pesel,glb
GLABA,GLĄBY,grammar,PL,register,pesel,glb
GLABAS,,,PL,register,pesel,glbs
GLABAS-GRUSZKA,,,PL,register,pesel,glbsgrsk
GLABAŹNIA,GLABAŹNIY,grammar,PL,register,pesel,glbzn
GLABAŹNIY,GLABAŹNIA,grammar,,,,glbzn
GLABIAN,,,PL,register,pesel,glbn
GLABIK,,,PL,register,pesel,glbk
GLABIŚ,,,PL,register,pesel,glbs
GLABISZ,,,PL,register,pesel,glbs
GLABISZEWSKA,GLABISZEWSKI,grammar,PL,register,pesel,glbsvsk
GLABISZEWSKI,GLABISZEWSKA,grammar,PL,register,pesel,glbsvsk
GLABŚ,,,PL,register,pesel,glbs
GLABSCH,,,PL,register,pesel,glbs
GLABUS,,,PL,register,pesel,glbs
GLABY,GLABA,grammar,,,,glb
GLABY,GLĄBA,grammar,,,,glb
GLAC,,,PL,register,pesel,glc
GLACEL,,,PL,register,pesel,glsl
GLACKA,GLACKI,grammar,PL,register,pesel,glk
GLACKI,GLACKA,grammar,,,,glk
GLACZA,GLACZY,grammar,PL,register,pesel,glc
GLACZY,GLACZA,grammar,,,,glc
GLAD,,,PL,register,pesel,gld
GLĄDALSKA,GLĄDALSKI,grammar,PL,register,pesel,gldlsk
GLĄDALSKI,GLĄDALSKA,grammar,PL,register,pesel,gldlsk
GLĄDAŁA,GLĄDAŁY,grammar,PL,register,pesel,gld
GLĄDAŁA-SZKLARSKA,GLĄDAŁA-SZKLARSKI,grammar,PL,register,pesel,gldsklrs
GLĄDAŁA-SZKLARSKI,GLĄDAŁA-SZKLARSKA,grammar,,,,gldsklrs
GLĄDAŁY,GLĄDAŁA,grammar,,,,gld
GLADCZUK,,,PL,register,pesel,gldck
GLADE,,,PL,register,pesel,gld
GLADICZ,,,PL,register,pesel,gldc
GLADIS,,,PL,register,pesel,glds
GLADOS,,,PL,register,pesel,glds
GLADUS,,,PL,register,pesel,glds
GLADWELL,,,PL,register,pesel,gldvl
GLĄDYS,,,PL,register,pesel,glds
GLADYSH,,,PL,register,pesel,gldsh
GLADYSZ,,,PL,register,pesel,glds
GLADZIŃSKA,GLADZIŃSKI,grammar,PL,register,pesel,gldznsk
GLADZIŃSKI,GLADZIŃSKA,grammar,PL,register,pesel,gldznsk
GLAESEL,,,PL,register,pesel,glsl
GLAESER,,,PL,register,pesel,glsr
GLAESKE,,,PL,register,pesel,glsk
GLAESMANN,,,PL,register,pesel,glsmn
GLAFIK,,,PL,register,pesel,glfk
GLAGLA,GLAGLY,grammar,PL,register,pesel,glgl
GLAGLUŚ,,,PL,register,pesel,glgls
GLAGLY,GLAGLA,grammar,,,,glgl
GLAJC,,,PL,register,pesel,glc
GLAJCAR,,,PL,register,pesel,glcr
GLAJCH,,,PL,register,pesel,glc
GLAJCHER,,,PL,register,pesel,glsr
GLAJKSNER,,,PL,register,pesel,glksnr
GLAJNYCH,,,PL,register,pesel,glnc
GLAJSNER,,,PL,register,pesel,glsnr
GLAJZER,,,PL,register,pesel,glzr
GLAJZNER,,,PL,register,pesel,glznr
GLAKOWSKA,GLAKOWSKI,grammar,PL,register,pesel,glkvsk
GLAKOWSKI,GLAKOWSKA,grammar,PL,register,pesel,glkvsk
GLAMA,GLAMY,grammar,PL,register,pesel,glm
GLAMACIŃSKA,GLAMACIŃSKI,grammar,PL,register,pesel,glmsnsk
GLAMACIŃSKI,GLAMACIŃSKA,grammar,PL,register,pesel,glmsnsk
GLAMACZYŃSKA,GLAMACZYŃSKI,grammar,PL,register,pesel,glmcnsk
GLAMACZYŃSKI,GLAMACZYŃSKA,grammar,,,,glmcnsk
GLAMB,,,PL,register,pesel,glmb
GLAMKOWSKA,GLAMKOWSKI,grammar,PL,register,pesel,glmkvsk
GLAMKOWSKA-SADY,,,PL,register,pesel,glmkvsks
GLAMKOWSKI,GLAMKOWSKA,grammar,PL,register,pesel,glmkvsk
GLAMOWSKA,GLAMOWSKI,grammar,PL,register,pesel,glmvsk
GLAMOWSKI,GLAMOWSKA,grammar,PL,register,pesel,glmvsk
GLAMY,GLAMA,grammar,,,,glm
GLANAS,,,PL,register,pesel,glns
GLANC,,,PL,register,pesel,glnc
GLANDA,GLANDY,grammar,PL,register,pesel,glnd
GLANDER,,,PL,register,pesel,glndr
GLANDY,GLANDA,grammar,,,,glnd
GLANDYS,,,PL,register,pesel,glnds
GLANDZBERG,,,PL,register,pesel,glndzbrg
GLANER,,,PL,register,pesel,glnr
GLANERSKA,GLANERSKI,grammar,PL,register,pesel,glnrsk
GLANERSKI,GLANERSKA,grammar,PL,register,pesel,glnrsk
GLANERT,,,PL,register,pesel,glnrt
GLANIA,GLANIY,grammar,PL,register,pesel,gln
GLANIY,GLANIA,grammar,,,,gln
GLANOWSKA,GLANOWSKI,grammar,PL,register,pesel,glnvsk
GLANOWSKI,GLANOWSKA,grammar,PL,register,pesel,glnvsk
GLANTZ,,,PL,register,pesel,glntz
GLANZ,,,PL,register,pesel,glnz
GLAPA,GLAPY,grammar,PL,register,pesel,glp
GLAPA-SANCHEZ,,,PL,register,pesel,glpsnsz
GLAPAN,,,PL,register,pesel,glpn
GLAPIAK,,,PL,register,pesel,glpk
GLAPIAK-GORYL,,,PL,register,pesel,glpkgrl
GLAPIAK-PRZYBYLSKI,,,PL,register,pesel,glpkprzb
GLAPIK,,,PL,register,pesel,glpk
GLAPIŃSKA,GLAPIŃSKI,grammar,PL,register,pesel,glpnsk
GLAPIŃSKI,GLAPIŃSKA,grammar,PL,register,pesel,glpnsk
GLAPIŃSKI-GALASZEK,,,PL,register,pesel,glpnskgl
GLAPKA,GLAPKY,grammar,PL,register,pesel,glpk
GLAPKY,GLAPKA,grammar,,,,glpk
GLAPŚ,,,PL,register,pesel,glps
GLAPSKA,GLAPSKI,grammar,PL,register,pesel,glpsk
GLAPSKI,GLAPSKA,grammar,PL,register,pesel,glpsk
GLAPY,GLAPA,grammar,,,,glp
GLARCZYŃSKA,GLARCZYŃSKI,grammar,PL,register,pesel,glrcnsk
GLARCZYŃSKI,GLARCZYŃSKA,grammar,PL,register,pesel,glrcnsk
GLAS,,,PL,register,pesel,gls
GLASA,GLASY,grammar,PL,register,pesel,gls
GLASDER,,,PL,register,pesel,glsdr
GLÄSEL,,,PL,register,pesel,glsl
GLASENAPP,,,PL,register,pesel,glsnp
Glaser,Glazer,curated,PL,register,pesel,glsr
Glaser,Glasner,curated,PL,register,pesel,glsr
Glaser,Gleser,curated,PL,register,pesel,glsr
Glaser,Glasser,curated,PL,register,pesel,glsr
Glaser,Gloser,curated,PL,register,pesel,glsr
Glaser,Glasmacher,curated,PL,register,pesel,glsr
Glaser,Glaßer,curated,PL,register,pesel,glsr
Glaser,Glázer,curated,PL,register,pesel,glsr
Glaser,Gallacher,sounds,PL,register,pesel,glsr
GLASER-SCHUHL,,,PL,register,pesel,glsrshl
GLASGALL,,,PL,register,pesel,glsgl
GLASHIER,,,PL,register,pesel,glshr
Glasmacher,Glaser,curated,,,,glsmsr
GLASMAN,,,PL,register,pesel,glsmn
GLÄSMANN,,,PL,register,pesel,glsmn
GLASNAPP,,,PL,register,pesel,glsnp
GLASNECK,,,PL,register,pesel,glsnk
Glasner,Glaser,curated,PL,register,pesel,glsnr
GLASNOVIĆ,,,PL,register,pesel,glsnvc
GLASOW,,,PL,register,pesel,glsv
GLASPAN,,,PL,register,pesel,glspn
GLASS,,,PL,register,pesel,gls
GLASS-BRUDZIŃSKA,GLASS-BRUDZIŃSKI,grammar,PL,register,pesel,glsbrdzn
GLASS-BRUDZIŃSKI,GLASS-BRUDZIŃSKA,grammar,PL,register,pesel,glsbrdzn
GLASSE,,,PL,register,pesel,gls
Glasser,Glaser,curated,PL,register,pesel,glsr
Glasser,Gleser,sounds,PL,register,pesel,glsr
Glasser,Gloser,sounds,PL,register,pesel,glsr
Glasser,Gallacher,sounds,PL,register,pesel,glsr
GLASSMANN,,,PL,register,pesel,glsmn
GLA̋SSNER,,,PL,register,pesel,glsnr
GLASY,GLASA,grammar,,,,gls
GLASZKA,GLASZKY,grammar,PL,register,pesel,glsk
GLASZKE,,,PL,register,pesel,glsk
GLASZKY,GLASZKA,grammar,,,,glsk
GLATKI,,,PL,register,pesel,gltk
GLATMAN,,,PL,register,pesel,gltmn
GLATT,,,PL,register,pesel,glt
GLATTE,,,PL,register,pesel,glt
GLATTKI,,,PL,register,pesel,gltk
GLATTY,,,PL,register,pesel,glt
Glatz,Kahl,curated,PL,register,pesel,gltz
Glatz,Glatzer,curated,PL,register,pesel,gltz
GLATZEL,,,PL,register,pesel,gltzl
Glatzer,Glatz,curated,,,,gltzr
GLAUBERT,,,PL,register,pesel,glbrt
GLAUBIC,,,PL,register,pesel,glbc
GLAUBITT,,,PL,register,pesel,glbt
GLAUBITZ,,,PL,register,pesel,glbtz
GLAUDEL,,,PL,register,pesel,gldl
GLAUE,,,PL,register,pesel,gl
GLAUER,,,PL,register,pesel,glr
GLAUS,,,PL,register,pesel,gls
GLAUSER,,,PL,register,pesel,glsr
GLAUSIUSS,,,PL,register,pesel,glss
Glavičić,,,HR,archive,Blažević,glvsc
GLAW,,,PL,register,pesel,glv
GLAWATY,,,PL,register,pesel,glvt
GLAWDEL,,,PL,register,pesel,glvdl
GLAWE,,,PL,register,pesel,glv
GLAWER,,,PL,register,pesel,glvr
GLAWON,,,PL,register,pesel,glvn
GLAZ,,,PL,register,pesel,glz
GLAZA,GLAZY,grammar,PL,register,pesel,glz
Glažar,Glazer,sounds,HR,archive,Blažević,glzr
Glažar,Glazer,sounds,PL,register,pesel,glzr
GLAZDER,,,PL,register,pesel,glzdr
Glazer,Glaser,curated,PL,register,pesel,glzr
Glazer,Glažar,sounds,PL,register,pesel,glzr
GLAZER-GIERSZ,,,PL,register,pesel,glzrrs
GLAZIK,,,PL,register,pesel,glzk
GLAZING,,,PL,register,pesel,glzng
GLAZIŃSKA,GLAZIŃSKI,grammar,PL,register,pesel,glznsk
GLAZIŃSKA,GLAZINSKI,grammar,PL,register,pesel,glznsk
GLAZIŃSKI,GLAZIŃSKA,grammar,PL,register,pesel,glznsk
GLAZIŃSKI,GLAZINSKA,grammar,PL,register,pesel,glznsk
GLAZNA,GLAZNY,grammar,PL,register,pesel,glzn
GLAZNAP,,,PL,register,pesel,glznp
GLAZNAT,,,PL,register,pesel,glznt
GLAZNET,,,PL,register,pesel,glznt
GLAZNY,GLAZNA,grammar,,,,glzn
GLAZOR,,,PL,register,pesel,glzr
GLAZOVA,GLAZOVY,grammar,PL,register,pesel,glzv
GLAZOVY,GLAZOVA,grammar,,,,glzv
GLAZOW,,,PL,register,pesel,glzv
GLAZOWSKA,GLAZOWSKI,grammar,PL,register,pesel,glzvsk
GLAZOWSKI,GLAZOWSKA,grammar,PL,register,pesel,glzvsk
GLAZUR,,,PL,register,pesel,glzr
GLAZY,GLAZA,grammar,,,,glz
Gleason,Gleeson,curated,,,,glsn
GLEB,,,PL,register,pesel,glb
GLEBA,GLEBY,grammar,PL,register,pesel,glb
GLEBA-SAWICKA,GLEBA-SAWICKI,grammar,PL,register,pesel,glbsvk
GLEBA-SAWICKI,GLEBA-SAWICKA,grammar,,,,glbsvk
GLEBIONEK,,,PL,register,pesel,glbnk
GLEBIOWSKA,GLEBIOWSKI,grammar,PL,register,pesel,glbvsk
GLEBIOWSKI,GLEBIOWSKA,grammar,,,,glbvsk
GLEBKO,,,PL,register,pesel,glbk
GLEBKOWICZ,,,PL,register,pesel,glbkvc
GLEBOCKA,GLEBOCKI,grammar,PL,register,pesel,glbk
GLEBOCKI,GLEBOCKA,grammar,,,,glbk
GLEBOW,,,PL,register,pesel,glbv
GLEBOWICZ,,,PL,register,pesel,glbvc
GLEBY,GLEBA,grammar,,,,glb
GLECZMAN,,,PL,register,pesel,glcmn
GLĘDA,GLĘDY,grammar,PL,register,pesel,gld
GLĘDAŁA,GLĘDAŁY,grammar,PL,register,pesel,gld
GLĘDAŁY,GLĘDAŁA,grammar,,,,gld
GLĘDY,GLĘDA,grammar,,,,gld
Gleeson,Gleason,curated,PL,register,pesel,glsn
GLEGAŁA,GLEGAŁY,grammar,PL,register,pesel,glg
GLEGAŁY,GLEGAŁA,grammar,,,,glg
GLEGOCIŃSKA,GLEGOCIŃSKI,grammar,PL,register,pesel,glgsnsk
GLEGOCIŃSKI,GLEGOCIŃSKA,grammar,PL,register,pesel,glgsnsk
GLEGOLSKA,GLEGOLSKI,grammar,PL,register,pesel,glglsk
GLEGOLSKI,GLEGOLSKA,grammar,PL,register,pesel,glglsk
GLEGORA,GLEGORY,grammar,PL,register,pesel,glgr
GLEGORY,GLEGORA,grammar,,,,glgr
GLEGOŁA,GLEGOŁY,grammar,PL,register,pesel,glg
GLEGOŁY,GLEGOŁA,grammar,,,,glg
GLEGUŁA,GLEGUŁY,grammar,PL,register,pesel,glg
GLEGUŁY,GLEGUŁA,grammar,,,,glg
GLEICH,,,PL,register,pesel,glc
GLEICHGEWICHT,,,PL,register,pesel,glcvct
GLEINDEK,,,PL,register,pesel,glndk
GLEINERT,,,PL,register,pesel,glnrt
GLEINIG,,,PL,register,pesel,glng
GLEIRSCHER,,,PL,register,pesel,glrsr
GLEISNER,,,PL,register,pesel,glsnr
GLEISSNER,,,PL,register,pesel,glsnr
GLEIXNER,,,PL,register,pesel,glksnr
GLEIZNER,,,PL,register,pesel,glznr
GLEJ,,,PL,register,pesel,gl
GLEJBICKA,GLEJBICKI,grammar,PL,register,pesel,glbk
GLEJBICKI,GLEJBICKA,grammar,,,,glbk
GLEJCH,,,PL,register,pesel,glc
GLEJF,,,PL,register,pesel,glf
GLEJNDEK,,,PL,register,pesel,glndk
GLEJSER,,,PL,register,pesel,glsr
GLEJT,,,PL,register,pesel,glt
GLEJZER,,,PL,register,pesel,glzr
GLEJZNER,,,PL,register,pesel,glznr
GLEJZNER-MICHALAK,,,PL,register,pesel,glznrmcl
GLEJZOW,,,PL,register,pesel,glzv
GLEMA,GLEMY,grammar,PL,register,pesel,glm
GLEMB,,,PL,register,pesel,glmb
GLEMBIN,,,PL,register,pesel,glmbn
GLEMP,,,PL,register,pesel,glmp
GLEMY,GLEMA,grammar,,,,glm
GLEŃ,,,PL,register,pesel,gln
GLENC,,,PL,register,pesel,glnc
GLENCNER,,,PL,register,pesel,glncnr
GLENDA,GLENDY,grammar,PL,register,pesel,glnd
GLEŃDEK,,,PL,register,pesel,glndk
GLENDY,GLENDA,grammar,,,,glnd
GLENN,,,PL,register,pesel,gln
GLENNON,,,PL,register,pesel,glnn
GLENSCZOK,,,PL,register,pesel,glnsck
GLENSCZYK,,,PL,register,pesel,glnsck
GLENSK,,,PL,register,pesel,glnsk
GLEŃSKA,GLEŃSKI,grammar,PL,register,pesel,glnsk
GLEŃSKA,GLENSKI,grammar,PL,register,pesel,glnsk
GLEŃSKI,GLEŃSKA,grammar,PL,register,pesel,glnsk
GLEŃSKI,GLENSKA,grammar,PL,register,pesel,glnsk
GLENSZCZYK,,,PL,register,pesel,glnsck
GLENZ,,,PL,register,pesel,glnz
GLESEL,,,PL,register,pesel,glsl
Gleser,Glaser,curated,,,,glsr
Gleser,Glasser,sounds,,,,glsr
Gleser,Gloser,sounds,,,,glsr
Gleser,Gallacher,sounds,,,,glsr
GLESKA,GLESKI,grammar,PL,register,pesel,glsk
GLESKE,,,PL,register,pesel,glsk
GLESKI,GLESKA,grammar,,,,glsk
GLESMAN,,,PL,register,pesel,glsmn
GLESMANN,,,PL,register,pesel,glsmn
GLESMER,,,PL,register,pesel,glsmr
GLESNER,,,PL,register,pesel,glsnr
GLESSMAN,,,PL,register,pesel,glsmn
GLESZCZYŃSKA,GLESZCZYŃSKI,grammar,PL,register,pesel,glscnsk
GLESZCZYŃSKI,GLESZCZYŃSKA,grammar,PL,register,pesel,glscnsk
GLET,,,PL,register,pesel,glt
GLETKIER,,,PL,register,pesel,gltkr
GLETT,,,PL,register,pesel,glt
GLETTNER,,,PL,register,pesel,gltnr
GLEVAŇÁK,,,PL,register,pesel,glvnk
GLEWICKA,GLEWICKI,grammar,PL,register,pesel,glvk
GLEWICKI,GLEWICKA,grammar,PL,register,pesel,glvk
GLEWICZ,,,PL,register,pesel,glvc
GLEWIŃSKI,,,PL,register,pesel,glvnsk
GLEZEL,,,PL,register,pesel,glzl
GLEZER,,,PL,register,pesel,glzr
GLEZMAN,,,PL,register,pesel,glzmn
GLEZMER,,,PL,register,pesel,glzmr
GLEZNER,,,PL,register,pesel,glznr
GLIB,,,PL,register,pesel,glb
GLIBOWSKA,GLIBOWSKI,grammar,PL,register,pesel,glbvsk
GLIBOWSKI,GLIBOWSKA,grammar,PL,register,pesel,glbvsk
GLICA,GLICY,grammar,PL,register,pesel,glc
GLICE,,,PL,register,pesel,gls
GLICH,,,PL,register,pesel,glc
GLICHOWSKA,GLICHOWSKI,grammar,PL,register,pesel,glcvsk
GLICHOWSKI,GLICHOWSKA,grammar,PL,register,pesel,glcvsk
Glick,Glickman,curated,,,,glk
Glick,Glück,curated,,,,glk
Glick,Golik,sounds,,,,glk
Glickman,Glick,curated,,,,glkmn
Glickman,Glucksmann,curated,,,,glkmn
Glickman,Glück,curated,,,,glkmn
GLICNER,,,PL,register,pesel,glcnr
GLICY,GLICA,grammar,,,,glc
GLICZ,,,PL,register,pesel,glc
GLICZA,GLICZY,grammar,PL,register,pesel,glc
GLICZY,GLICZA,grammar,,,,glc
GLICZYŃSKA,GLICZYŃSKI,grammar,PL,register,pesel,glcnsk
GLICZYŃSKI,GLICZYŃSKA,grammar,PL,register,pesel,glcnsk
GLID,,,PL,register,pesel,gld
GLIED,,,PL,register,pesel,gld
GLIEGE,,,PL,register,pesel,gl
GLIENKE,,,PL,register,pesel,glnk
GLIER,,,PL,register,pesel,glr
GLIESNER,,,PL,register,pesel,glsnr
GLIGA,GLIGY,grammar,PL,register,pesel,glg
GLIGE,,,PL,register,pesel,gl
GLIGORCZYK,,,PL,register,pesel,glgrck
GLIGOROV,,,PL,register,pesel,glgrv
GLIGUROWSKA-DAMOWSKA,GLIGUROWSKA-DAMOWSKI,grammar,PL,register,pesel,glgrvskd
GLIGUROWSKA-DAMOWSKI,GLIGUROWSKA-DAMOWSKA,grammar,,,,glgrvskd
GLIGY,GLIGA,grammar,,,,glg
GLIJER,,,PL,register,pesel,glr
GLIJERSKA,GLIJERSKI,grammar,PL,register,pesel,glrsk
GLIJERSKI,GLIJERSKA,grammar,PL,register,pesel,glrsk
GLIK,,,PL,register,pesel,glk
GLIK-WITKOWSKI,,,PL,register,pesel,glkvtkvs
GLIKLICH,,,PL,register,pesel,glklc
GLIKSMAN,,,PL,register,pesel,glksmn
GLIM,,,PL,register,pesel,glm
GLIMAŃSKA,GLIMAŃSKI,grammar,PL,register,pesel,glmnsk
GLIMAŃSKI,GLIMAŃSKA,grammar,PL,register,pesel,glmnsk
GLIMAS,,,PL,register,pesel,glms
GLIMASIŃSKA,GLIMASIŃSKI,grammar,PL,register,pesel,glmsnsk
GLIMASIŃSKI,GLIMASIŃSKA,grammar,PL,register,pesel,glmsnsk
GLIMM,,,PL,register,pesel,glm
GLIMOS,,,PL,register,pesel,glms
GLIN,,,PL,register,pesel,gln
GLINA,GLINY,grammar,PL,register,pesel,gln
GLINCZAK,,,PL,register,pesel,glnck
GLINCZEWSKA,GLINCZEWSKI,grammar,PL,register,pesel,glnsvsk
GLINCZEWSKA,GLIŃCZEWSKI,grammar,PL,register,pesel,glnsvsk
GLINCZEWSKI,GLINCZEWSKA,grammar,PL,register,pesel,glnsvsk
GLINCZEWSKI,GLIŃCZEWSKA,grammar,PL,register,pesel,glnsvsk
GLINDA,GLINDY,grammar,PL,register,pesel,glnd
GLINDY,GLINDA,grammar,,,,glnd
GLINECKA,GLINECKI,grammar,PL,register,pesel,glnk
GLINECKI,GLINECKA,grammar,PL,register,pesel,glnk
GLINEUR,,,PL,register,pesel,glnr
GLINGA,,,PL,register,pesel,glng
GLINIAK,,,PL,register,pesel,glnk
GLINIANA,GLINIANY,grammar,PL,register,pesel,glnn
GLINIANOWICZ,,,PL,register,pesel,glnnvc
GLINIAŃSKA,GLINIAŃSKI,grammar,PL,register,pesel,glnnsk
GLINIAŃSKI,GLINIAŃSKA,grammar,PL,register,pesel,glnnsk
GLINIANY,GLINIANA,grammar,PL,register,pesel,glnn
GLINIARZ,,,PL,register,pesel,glnrz
GLINICKA,GLINICKI,grammar,PL,register,pesel,glnk
GLINICKI,GLINICKA,grammar,PL,register,pesel,glnk
GLINIECKA,GLINIECKI,grammar,PL,register,pesel,glnk
GLINIECKA-KLOC,,,PL,register,pesel,glnkklc
GLINIECKI,GLINIECKA,grammar,PL,register,pesel,glnk
GLINIEWICZ,,,PL,register,pesel,glnvc
GLINIEWSKA,GLINIEWSKI,grammar,PL,register,pesel,glnvsk
GLINIEWSKI,GLINIEWSKA,grammar,PL,register,pesel,glnvsk
GLINIORZ,,,PL,register,pesel,glnrz
GLINK,,,PL,register,pesel,glnk
GLINKA,GLINKY,grammar,PL,register,pesel,glnk
GLINKA-CHŁOPICKA,GLINKA-CHŁOPICKI,grammar,PL,register,pesel,glnkcpk
GLINKA-CHŁOPICKI,GLINKA-CHŁOPICKA,grammar,PL,register,pesel,glnkcpk
GLINKA-NOWAK,,,PL,register,pesel,glnknvk
GLINKAU,,,PL,register,pesel,glnk
GLINKE,,,PL,register,pesel,glnk
GLINKIEWICZ,,,PL,register,pesel,glnkvc
GLINKO,,,PL,register,pesel,glnk
GLINKOWSKA,GLINKOWSKI,grammar,PL,register,pesel,glnkvsk
GLINKOWSKI,GLINKOWSKA,grammar,PL,register,pesel,glnkvsk
GLINKY,GLINKA,grammar,,,,glnk
GLINNA,GLINNY,grammar,PL,register,pesel,gln
GLINNY,GLINNA,grammar,PL,register,pesel,gln
GLINOJECKA,GLINOJECKI,grammar,PL,register,pesel,glnk
GLINOJECKI,GLINOJECKA,grammar,PL,register,pesel,glnk
GLINOWIECKA,GLINOWIECKI,grammar,PL,register,pesel,glnvk
GLINOWIECKI,GLINOWIECKA,grammar,PL,register,pesel,glnvk
GLINOWSKA,GLINOWSKI,grammar,PL,register,pesel,glnvsk
GLINOWSKI,GLINOWSKA,grammar,PL,register,pesel,glnvsk
GLIŃSKA,GLIŃSKI,grammar,PL,register,pesel,glnsk
GLIŃSKA,GLINSKI,grammar,PL,register,pesel,glnsk
GLIŃSKA-BEDNARSKA,GLIŃSKA-BEDNARSKI,grammar,PL,register,pesel,glnskbdn
GLIŃSKA-BEDNARSKI,GLIŃSKA-BEDNARSKA,grammar,,,,glnskbdn
GLIŃSKA-CHOJNACKA,GLIŃSKA-CHOJNACKI,grammar,PL,register,pesel,glnskcnk
GLIŃSKA-CHOJNACKI,GLIŃSKA-CHOJNACKA,grammar,,,,glnskcnk
GLIŃSKA-FONSECA,GLIŃSKA-FONSECY,grammar,PL,register,pesel,glnskfns
GLIŃSKA-FONSECY,GLIŃSKA-FONSECA,grammar,,,,glnskfns
GLIŃSKI,GLIŃSKA,grammar,PL,register,pesel,glnsk
GLIŃSKI,GLINSKA,grammar,PL,register,pesel,glnsk
GLINY,GLINA,grammar,,,,gln
GLIŚCIAK,,,PL,register,pesel,glsk
GLIŚCIŃSKA,GLIŚCIŃSKI,grammar,PL,register,pesel,glsnsk
GLIŚCIŃSKI,GLIŚCIŃSKA,grammar,PL,register,pesel,glsnsk
GLIŚNIK,,,PL,register,pesel,glsnk
GLISTA,GLISTY,grammar,PL,register,pesel,glst
GLISTAK,,,PL,register,pesel,glstk
GLISTY,GLISTA,grammar,,,,glst
GLISZCZYŃSKA,GLISZCZYŃSKI,grammar,PL,register,pesel,glscnsk
GLISZCZYŃSKA,GLISZCZYNSKI,grammar,PL,register,pesel,glscnsk
GLISZCZYŃSKA-MOROZ,,,PL,register,pesel,glscnskm
GLISZCZYŃSKA-MUSLII,,,PL,register,pesel,glscnskm
GLISZCZYŃSKI,GLISZCZYŃSKA,grammar,PL,register,pesel,glscnsk
GLISZCZYŃSKI,GLISZCZYNSKA,grammar,PL,register,pesel,glscnsk
GLISZEWSKA,GLISZEWSKI,grammar,PL,register,pesel,glsvsk
GLISZEWSKI,GLISZEWSKA,grammar,PL,register,pesel,glsvsk
GLISZIŃSKA,GLISZIŃSKI,grammar,PL,register,pesel,glsnsk
